prolific_id,query_stimulus,ref_left_stimulus,ref_right_stimulus,ref_left_y_offset,ref_right_y_offset,rt,response,trial_stage,trial_type,trial_index,time_elapsed,internal_node_id,session,correct,correct_response,query_item,ref_left,ref_right,dist_query_ref_left,dist_query_ref_right,dist_ref_left_ref_right,abs_dist_query_ref_left,abs_dist_query_ref_right,abs_dist_ref_left_ref_right,triplet_left_right_name,ref_lowdim,ref_highdim,dist_query_ref_lowdim,dist_query_ref_highdim,dist_ref_lowdim_ref_highdim,dist_abs_query_ref_lowdim,dist_abs_query_ref_highdim,dist_abs_ref_lowdim_ref_highdim,triplet_unique_name,template_distances,template_abs_distances,triplet_rep,template_distances_rep,triplet_easiness,query_position,chosen_ref_value,chosen_ref,correct_ref_lowdim_highdim,correct_ref_left_right,correct_numeric,qc_pass
sub001,./img/object-9_120-levels_1D/object9F0Level24F1Level40.png,./img/object-9_120-levels_1D/object9F0Level34F1Level40.png,./img/object-9_120-levels_1D/object9F0Level74F1Level40.png,0,0,2243.900000002235,q,practice,triplets-canvas-keyboard-response,1.0,7232.0,0.0-1.0-0.0,1.0,True,q,24,34,74,-10,-50,-40,10,50,40,24_34_74,34,74,-10,-50,-40,10,50,40,24_34_74,-10_-50_-40,10_50_40,1,1,40,query_left,34.0,ref_lowdim,ref_lowdim,ref_left,1.0,1
sub001,./img/object-9_120-levels_1D/object9F0Level114F1Level40.png,./img/object-9_120-levels_1D/object9F0Level84F1Level40.png,./img/object-9_120-levels_1D/object9F0Level104F1Level40.png,0,0,1622.699999999255,p,practice,triplets-canvas-keyboard-response,2.0,9739.0,0.0-1.0-0.1,1.0,True,p,114,84,104,30,10,-20,30,10,20,114_84_104,84,104,30,10,-20,30,10,20,114_84_104,30_10_-20,10_30_20,1,1,20,query_right,104.0,ref_highdim,ref_highdim,ref_right,1.0,1
sub001,./img/object-9_120-levels_1D/object9F0Level64F1Level40.png,./img/object-9_120-levels_1D/object9F0Level24F1Level40.png,./img/object-9_120-levels_1D/object9F0Level74F1Level40.png,0,0,1293.1000000014901,p,practice,triplets-canvas-keyboard-response,3.0,12245.0,0.0-1.0-0.2,1.0,True,p,64,24,74,40,-10,-50,40,10,50,64_24_74,24,74,40,-10,-50,40,10,50,64_24_74,40_-10_-50,10_40_50,1,1,30,query_middle,74.0,ref_highdim,ref_highdim,ref_right,1.0,1
sub001,./img/object-9_120-levels_1D/object9F0Level44F1Level40.png,./img/object-9_120-levels_1D/object9F0Level24F1Level40.png,./img/object-9_120-levels_1D/object9F0Level104F1Level40.png,0,0,1153.300000000745,q,practice,triplets-canvas-keyboard-response,4.0,14751.0,0.0-1.0-0.3,1.0,True,q,44,24,104,20,-60,-80,20,60,80,44_24_104,24,104,20,-60,-80,20,60,80,44_24_104,20_-60_-80,20_60_80,1,1,40,query_middle,24.0,ref_lowdim,ref_lowdim,ref_left,1.0,1
sub001,./img/object-9_120-levels_1D/object9F0Level74F1Level40.png,./img/object-9_120-levels_1D/object9F0Level84F1Level40.png,./img/object-9_120-levels_1D/object9F0Level24F1Level40.png,0,0,968.7999999970198,q,practice,triplets-canvas-keyboard-response,5.0,17262.0,0.0-1.0-0.4,1.0,True,q,74,84,24,-10,50,60,10,50,60,74_84_24,24,84,50,-10,-60,50,10,60,74_24_84,50_-10_-60,10_50_60,1,1,40,query_middle,84.0,ref_highdim,ref_highdim,ref_left,1.0,1
sub001,./img/object-9_120-levels_1D/object9F0Level94F1Level40.png,./img/object-9_120-levels_1D/object9F0Level84F1Level40.png,./img/object-9_120-levels_1D/object9F0Level104F1Level40.png,0,0,1456.0,q,practice,triplets-canvas-keyboard-response,6.0,19768.0,0.0-1.0-0.5,1.0,,,94,84,104,10,-10,-20,10,10,20,94_84_104,84,104,10,-10,-20,10,10,20,94_84_104,10_-10_-20,10_10_20,1,1,0,query_middle,84.0,ref_lowdim,nan,nan,,1
sub001,./img/object-9_120-levels_1D/object9F0Level54F1Level40.png,./img/object-9_120-levels_1D/object9F0Level44F1Level40.png,./img/object-9_120-levels_1D/object9F0Level94F1Level40.png,0,0,1048.6000000014901,q,practice,triplets-canvas-keyboard-response,7.0,22278.0,0.0-1.0-0.6,1.0,True,q,54,44,94,10,-40,-50,10,40,50,54_44_94,44,94,10,-40,-50,10,40,50,54_44_94,10_-40_-50,10_40_50,1,1,30,query_middle,44.0,ref_lowdim,ref_lowdim,ref_left,1.0,1
sub001,./img/object-9_120-levels_1D/object9F0Level84F1Level40.png,./img/object-9_120-levels_1D/object9F0Level104F1Level40.png,./img/object-9_120-levels_1D/object9F0Level44F1Level40.png,0,0,904.6000000014901,q,practice,triplets-canvas-keyboard-response,8.0,24785.0,0.0-1.0-0.7,1.0,True,q,84,104,44,-20,40,60,20,40,60,84_104_44,44,104,40,-20,-60,40,20,60,84_44_104,40_-20_-60,20_40_60,1,1,20,query_middle,104.0,ref_highdim,ref_highdim,ref_left,1.0,1
sub001,./img/object-9_120-levels_1D/object9F0Level34F1Level40.png,./img/object-9_120-levels_1D/object9F0Level54F1Level40.png,./img/object-9_120-levels_1D/object9F0Level104F1Level40.png,0,0,1478.8999999985099,q,practice,triplets-canvas-keyboard-response,9.0,27288.0,0.0-1.0-0.8,1.0,True,q,34,54,104,-20,-70,-50,20,70,50,34_54_104,54,104,-20,-70,-50,20,70,50,34_54_104,-20_-70_-50,20_70_50,1,1,50,query_left,54.0,ref_lowdim,ref_lowdim,ref_left,1.0,1
sub001,./img/object-9_120-levels_1D/object9F0Level104F1Level40.png,./img/object-9_120-levels_1D/object9F0Level84F1Level40.png,./img/object-9_120-levels_1D/object9F0Level94F1Level40.png,0,0,1261.800000000745,p,practice,triplets-canvas-keyboard-response,10.0,29794.0,0.0-1.0-0.9,1.0,True,p,104,84,94,20,10,-10,20,10,10,104_84_94,84,94,20,10,-10,20,10,10,104_84_94,20_10_-10,10_20_10,1,1,10,query_right,94.0,ref_highdim,ref_highdim,ref_right,1.0,1
sub001,./img/object-9_120-levels_1D/object9F0Level29F1Level40.png,./img/object-9_120-levels_1D/object9F0Level99F1Level40.png,./img/object-9_120-levels_1D/object9F0Level69F1Level40.png,0,0,2284.199999999255,p,triplet_task,triplets-canvas-keyboard-response,1.0,9105.0,0.0-1.0-0.0,1.0,True,p,29,99,69,-70,-40,30,70,40,30,29_99_69,69,99,-40,-70,-30,40,70,30,29_69_99,-40_-70_-30,40_70_30,1,1,30,query_left,69.0,ref_lowdim,ref_lowdim,ref_right,1.0,1
sub001,./img/object-9_120-levels_1D/object9F0Level79F1Level40.png,./img/object-9_120-levels_1D/object9F0Level89F1Level40.png,./img/object-9_120-levels_1D/object9F0Level49F1Level40.png,0,0,1071.8999999985099,q,triplet_task,triplets-canvas-keyboard-response,2.0,11610.0,0.0-1.0-0.1,1.0,True,q,79,89,49,-10,30,40,10,30,40,79_89_49,49,89,30,-10,-40,30,10,40,79_49_89,30_-10_-40,10_30_40,1,1,20,query_middle,89.0,ref_highdim,ref_highdim,ref_left,1.0,1
